rio,estacion,municipio,estado,fecha,caudal_m3s
Amaime,Amaime,El Cerrito,Activa,2016-06-20,14.08
Amaime,Amaime,El Cerrito,Activa,2016-06-21,16.26
Amaime,Amaime,El Cerrito,Activa,2016-06-22,30.41
Amaime,Amaime,El Cerrito,Activa,2016-06-23,21.64
Amaime,Amaime,El Cerrito,Activa,2016-06-24,5.6
Amaime,Amaime,El Cerrito,Activa,2016-06-25,4.56
Amaime,Amaime,El Cerrito,Activa,2016-06-26,3.76
Amaime,Amaime,El Cerrito,Activa,2016-06-27,2.53
Amaime,Amaime,El Cerrito,Activa,2016-06-28,2.24
Amaime,Amaime,El Cerrito,Activa,2016-06-29,2.97
Amaime,Amaime,El Cerrito,Activa,2016-06-30,0.68
Amaime,Amaime,El Cerrito,Activa,2016-07-01,33.67
Amaime,Amaime,El Cerrito,Activa,2016-07-02,29.25
Amaime,Amaime,El Cerrito,Activa,2016-07-03,10.47
Amaime,Amaime,El Cerrito,Activa,2016-07-04,25.54
Amaime,Amaime,El Cerrito,Activa,2016-07-05,42.22
Amaime,Amaime,El Cerrito,Activa,2016-07-06,22.17
Amaime,Amaime,El Cerrito,Activa,2016-07-07,9.14
Amaime,Amaime,El Cerrito,Activa,2016-07-08,4.12
Amaime,Amaime,El Cerrito,Activa,2016-07-09,4.47
Amaime,Amaime,El Cerrito,Activa,2016-07-10,5.04
Amaime,Amaime,El Cerrito,Activa,2016-07-11,5.0
Amaime,Amaime,El Cerrito,Activa,2016-07-12,4.3
Amaime,Amaime,El Cerrito,Activa,2016-07-13,4.83
Amaime,Amaime,El Cerrito,Activa,2016-07-14,4.56
Amaime,Amaime,El Cerrito,Activa,2016-07-15,2.82
Amaime,Amaime,El Cerrito,Activa,2016-07-16,1.83
Amaime,Amaime,El Cerrito,Activa,2016-07-17,1.3
Amaime,Amaime,El Cerrito,Activa,2016-07-18,1.03
Amaime,Amaime,El Cerrito,Activa,2016-07-19,1.3
Amaime,Amaime,El Cerrito,Activa,2016-07-20,2.53
Amaime,Amaime,El Cerrito,Activa,2016-07-21,1.62
Amaime,Amaime,El Cerrito,Activa,2016-07-22,1.19
Amaime,Amaime,El Cerrito,Activa,2016-07-23,0.72
Amaime,Amaime,El Cerrito,Activa,2016-07-24,0.98
Amaime,Amaime,El Cerrito,Activa,2016-07-25,1.51
Amaime,Amaime,El Cerrito,Activa,2016-07-26,0.69
Amaime,Amaime,El Cerrito,Activa,2016-07-27,0.21
Amaime,Amaime,El Cerrito,Activa,2016-07-28,0.15
Amaime,Amaime,El Cerrito,Activa,2016-07-29,0.6
Amaime,Amaime,El Cerrito,Activa,2016-07-30,0.53
Amaime,Amaime,El Cerrito,Activa,2016-07-31,3.26
Amaime,Amaime,El Cerrito,Activa,2016-08-01,1.19
Amaime,Amaime,El Cerrito,Activa,2016-08-02,0.99
Amaime,Amaime,El Cerrito,Activa,2016-08-03,0.98
Amaime,Amaime,El Cerrito,Activa,2016-08-04,1.35
Amaime,Amaime,El Cerrito,Activa,2016-08-05,1.03
Amaime,Amaime,El Cerrito,Activa,2016-08-06,0.49
Amaime,Amaime,El Cerrito,Activa,2016-08-07,0.64
Amaime,Amaime,El Cerrito,Activa,2016-08-08,0.76
Amaime,Amaime,El Cerrito,Activa,2016-08-09,0.26
Amaime,Amaime,El Cerrito,Activa,2016-08-10,0.6
Amaime,Amaime,El Cerrito,Activa,2016-08-11,0.68
Amaime,Amaime,El Cerrito,Activa,2016-08-12,0.53
Amaime,Amaime,El Cerrito,Activa,2016-08-13,1.05
Amaime,Amaime,El Cerrito,Activa,2016-08-14,1.03
Amaime,Amaime,El Cerrito,Activa,2016-08-15,0.88
Amaime,Amaime,El Cerrito,Activa,2016-08-16,0.76
Amaime,Amaime,El Cerrito,Activa,2016-08-17,0.42
Amaime,Amaime,El Cerrito,Activa,2016-08-18,0.64
Amaime,Amaime,El Cerrito,Activa,2016-08-19,0.68
Amaime,Amaime,El Cerrito,Activa,2016-08-20,0.45
Amaime,Amaime,El Cerrito,Activa,2016-08-21,0.76
Amaime,Amaime,El Cerrito,Activa,2016-08-22,2.1
Amaime,Amaime,El Cerrito,Activa,2016-08-23,2.08
Amaime,Amaime,El Cerrito,Activa,2016-08-24,0.72
Amaime,Amaime,El Cerrito,Activa,2016-08-25,0.57
Amaime,Amaime,El Cerrito,Activa,2016-08-26,0.45
Amaime,Amaime,El Cerrito,Activa,2016-08-27,0.57
Amaime,Amaime,El Cerrito,Activa,2016-08-28,0.49
Amaime,Amaime,El Cerrito,Activa,2016-08-29,0.42
Amaime,Amaime,El Cerrito,Activa,2016-08-30,1.89
Amaime,Amaime,El Cerrito,Activa,2016-09-01,10.29
Amaime,Amaime,El Cerrito,Activa,2016-09-02,7.21
Amaime,Amaime,El Cerrito,Activa,2016-09-03,5.29
Amaime,Amaime,El Cerrito,Activa,2016-09-04,1.84
Amaime,Amaime,El Cerrito,Activa,2016-09-05,0.98
Amaime,Amaime,El Cerrito,Activa,2016-09-06,0.64
Amaime,Amaime,El Cerrito,Activa,2016-09-07,0.86
Amaime,Amaime,El Cerrito,Activa,2016-09-08,1.3
