rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,area_referencia_ha,cobertura_pct,cod_cob25,clase,area_ha,pct,fuente_cana,cana_ha_uso_suelo,factor_reescalado
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,41110,Otros cuerpos de agua,0.15,0.00,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,41120,Ríos,72.32,2.12,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,41144,Otras superficies pantanosas,0.63,0.02,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,41220,Estanques artificiales / reservorios,8.05,0.24,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,41221,Canal,28.71,0.84,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,42350,Isla (código marítimo en capa continental),0.22,0.01,Uso_del_suelo_ZP,2805.03,1.199957
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,11111,Zonas urbanas continuas,130.21,26.54,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,11211,Zonas urbanas discontinuas,1.92,0.39,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,12111,Otras superficies artificiales con construcción,5.18,1.06,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,12211,Otras superficies artificiales sin construcción,0.53,0.11,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,22171,Caña de azúcar,295.62,60.25,Hectareas_CZ,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,23170,Pasto cultivado,7.93,1.62,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,23171,Pasto cultivado arbolado,2.56,0.52,Uso_del_suelo_ZP,296.39,1.003962
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,490.65,100.0,23172,Pasto cultivado enmalezado,2.15,0.44,Uso_del_suelo_ZP,296.39,1.003962
